,,,,,,,,,
,going for the green,Jordan Spieth,Henrik Stenson,Jason Dufner,Danny Willett,Rickie Fowler,Matt Parziale,Adam Scott,Daniel Berger
,JUULING,Justin Thomas,Jordan Spieth,Dustin Johnson,Marc Leishman,Adam Hadwin,Louis Oosthuizen,Matt Kuchar,Li Haotong
,Will Hawkins 2,Tony Finau,Jon Rahm,Tiger Woods,Patrick Reed,Bubba Watson,Si Woo Kim,Ian Poulter,Angel Cabrera
,MikeCollins2,Rory McIlroy,Kevin Chappell,Justin Rose,Paul Casey,Patrick Cantlay,Ian Poulter,Thomas Pieters,Xander Schauffele
,Grip It N' Rip It,Bubba Watson,Jordan Spieth,Dustin Johnson,Patrick Reed,Matt Kuchar,Bryson DeChambeau,Xander Schauffele,Fred Couples
,I Like Big Putts and I Cannot Lie,Phil Mickelson,Justin Rose,Tiger Woods,Tony Finau,Matt Kuchar,Louis Oosthuizen,Thomas Pieters,Charl Schwartzel
,Larry’s Birdies,Dustin Johnson,Justin Rose,Justin Thomas,Adam Scott,Matt Kuchar,Kiradech Aphibarnrat,Adam Hadwin,Tony Finau
,J Shaddock 1,Tiger Woods,Dustin Johnson,Justin Thomas,Patton Kizzire,Ryan Moore,Bryson DeChambeau,Charl Schwartzel,Louis Oosthuizen
,Native Area,Tiger Woods,Jordan Spieth,Justin Rose,Matt Kuchar,Adam Scott,Patrick Reed,Brian Harman,Doc Redman
,J Shaddock 2,Tiger Woods,Rory McIlroy,Phil Mickelson,Xander Schauffele,Patrick Cantlay,Adam Hadwin,Thomas Pieters,Patrick Reed
,Scooter McGavin,Dustin Johnson,Justin Rose,Rory McIlroy,Tony Finau,Louis Oosthuizen,Kevin Chappell,Matt Kuchar,Brendan Steele
,Bhickey ,Jordan Spieth,Bubba Watson,Jason Day,Patton Kizzire,Matthew Fitzpatrick,Charley Hoffman,Adam Scott,Webb Simpson
,Govicii,Justin Thomas,Jason Day,Rickie Fowler,Patrick Reed,Louis Oosthuizen,Thomas Pieters,Kevin Kisner,Matt Parziale
,J Shaddock 3,Charley Hoffman,Justin Rose,Jordan Spieth,Hideki Matsuyama,Matt Kuchar,Tony Finau,Kevin Kisner,Marc Leishman
,Don's Best Guess,Wesley Bryan,Patrick Cantlay,Paul Casey,Russell Henley,Justin Rose,Jordan Spieth,Pat Perez,Daniel Berger
,Kasnicki,Jordan Spieth,Phil Mickelson,Justin Rose,Matt Kuchar,Patrick Reed,Tony Finau,Bryson DeChambeau,Louis Oosthuizen
